127.0.0.1 - - [13/Mar/2017:21:02:22 +0800] "GET /services/ HTTP/1.1" 200 4702
127.0.0.1 - - [13/Mar/2017:21:02:22 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2017:21:02:22 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:21:02:48 +0800] "GET /services/ HTTP/1.1" 200 4713
127.0.0.1 - - [13/Mar/2017:21:02:48 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:21:04:27 +0800] "GET /services/ HTTP/1.1" 200 4735
127.0.0.1 - - [13/Mar/2017:21:04:27 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:21:04:37 +0800] "GET /services/ HTTP/1.1" 200 4728
127.0.0.1 - - [13/Mar/2017:21:04:37 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:21:06:23 +0800] "GET /services/ HTTP/1.1" 200 4749
127.0.0.1 - - [13/Mar/2017:21:06:23 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:21:06:44 +0800] "GET /services/ HTTP/1.1" 200 4768
127.0.0.1 - - [13/Mar/2017:21:06:44 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:21:08:01 +0800] "GET /services/ HTTP/1.1" 200 4768
127.0.0.1 - - [13/Mar/2017:21:08:01 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [13/Mar/2017:21:08:03 +0800] "GET /services/ HTTP/1.1" 200 4768
127.0.0.1 - - [13/Mar/2017:21:08:03 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [13/Mar/2017:21:08:25 +0800] "GET /services/ HTTP/1.1" 200 4768
127.0.0.1 - - [13/Mar/2017:21:08:25 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [13/Mar/2017:21:08:27 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:21:10:48 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:21:11:49 +0800] "GET /services/ HTTP/1.1" 200 4768
127.0.0.1 - - [13/Mar/2017:21:11:49 +0800] "GET /css/dashboard.css HTTP/1.1" 200 1823
127.0.0.1 - - [13/Mar/2017:21:11:49 +0800] "GET /image/add.png HTTP/1.1" 304 -
