127.0.0.1 - - [10/Apr/2017:19:16:29 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [10/Apr/2017:19:16:29 +0800] "GET /js/jquery-1.10.2.min.js HTTP/1.1" 200 93064
127.0.0.1 - - [10/Apr/2017:19:16:29 +0800] "GET /js/xlsx.core.min.js HTTP/1.1" 200 463761
127.0.0.1 - - [10/Apr/2017:19:16:30 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [10/Apr/2017:19:16:30 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [10/Apr/2017:19:16:32 +0800] "POST /services/filecreate HTTP/1.1" 302 -
127.0.0.1 - - [10/Apr/2017:19:16:32 +0800] "GET /services HTTP/1.1" 200 11574
127.0.0.1 - - [10/Apr/2017:19:16:32 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:19:16:32 +0800] "GET /css/dashboard.css HTTP/1.1" 200 1824
127.0.0.1 - - [10/Apr/2017:19:16:32 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [10/Apr/2017:19:16:32 +0800] "GET /image/add.png HTTP/1.1" 200 1062
127.0.0.1 - - [10/Apr/2017:19:16:32 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [10/Apr/2017:19:16:34 +0800] "GET /js/xlsx.core.min.js HTTP/1.1" 200 463761
127.0.0.1 - - [10/Apr/2017:19:16:34 +0800] "GET /css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [10/Apr/2017:19:58:20 +0800] "GET /services/ HTTP/1.1" 200 11156
127.0.0.1 - - [10/Apr/2017:19:58:20 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:19:58:20 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [10/Apr/2017:19:58:20 +0800] "GET /css/dashboard.css HTTP/1.1" 200 1824
127.0.0.1 - - [10/Apr/2017:19:58:20 +0800] "GET /image/add.png HTTP/1.1" 200 1062
127.0.0.1 - - [10/Apr/2017:19:58:20 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [10/Apr/2017:19:58:28 +0800] "GET /services/hardresource/form HTTP/1.1" 200 8622
127.0.0.1 - - [10/Apr/2017:19:58:28 +0800] "GET /css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [10/Apr/2017:19:58:28 +0800] "GET /js/xlsx.core.min.js HTTP/1.1" 200 463761
127.0.0.1 - - [10/Apr/2017:19:58:28 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [10/Apr/2017:19:58:28 +0800] "GET /js/jquery-1.10.2.min.js HTTP/1.1" 200 93064
127.0.0.1 - - [10/Apr/2017:19:58:28 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:19:58:28 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [10/Apr/2017:20:09:31 +0800] "GET /services/hardresource/form HTTP/1.1" 200 8622
127.0.0.1 - - [10/Apr/2017:20:09:31 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:20:09:31 +0800] "GET /css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [10/Apr/2017:20:09:31 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [10/Apr/2017:20:09:31 +0800] "GET /js/xlsx.core.min.js HTTP/1.1" 200 463761
127.0.0.1 - - [10/Apr/2017:20:09:31 +0800] "GET /js/jquery-1.10.2.min.js HTTP/1.1" 200 93064
127.0.0.1 - - [10/Apr/2017:20:09:31 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [10/Apr/2017:20:10:29 +0800] "GET /services/hardresource/form HTTP/1.1" 200 8623
127.0.0.1 - - [10/Apr/2017:20:10:29 +0800] "GET /js/jquery-1.10.2.min.js HTTP/1.1" 200 93064
127.0.0.1 - - [10/Apr/2017:20:10:29 +0800] "GET /js/xlsx.core.min.js HTTP/1.1" 200 463761
127.0.0.1 - - [10/Apr/2017:20:10:29 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:20:10:29 +0800] "GET /css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [10/Apr/2017:20:10:29 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [10/Apr/2017:20:10:29 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [10/Apr/2017:20:10:29 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [10/Apr/2017:20:10:36 +0800] "POST /services/filecreate HTTP/1.1" 500 340
127.0.0.1 - - [10/Apr/2017:20:13:20 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
